validated_call_id,mmsi,imo,vessel_name,terminal_id,berth_zone_code,berth_arrival_time,berth_departure_time,berth_duration_minutes,expected_duration_minutes,duration_variance_minutes,estimated_delay_minutes,estimated_delay_hours,delay_band,delay_quality,baseline_scope,baseline_sample_size,berth_detection_confidence,berth_continuity,movement_coverage,inbound_transit_minutes,outbound_transit_minutes,arrival_metric_date,arrival_day_terminal_arrivals,arrival_day_terminal_departures,arrival_day_max_occupied_berths,arrival_day_terminal_utilisation_pct,arrival_day_mean_occupied_berths
1,215778000,9862918,ARISTARCHOS,1,SPL_BERTH_2,2023-01-01 00:00:46+00:00,2023-01-03 22:09:10+00:00,4208.4,2694.35,1514.0499999999997,1514.0499999999997,25.234166666666663,unscored,censored,berth,7,high,continuous,outbound_only,,24.0,2023-01-01,0,0,1,33.31558641975309,0.9994675925925925
2,224941000,9236420,CATALUNYA SPIRIT,1,SPL_BERTH_1,2023-01-03 18:03:36+00:00,2023-01-04 16:27:36+00:00,1344.0,2557.2,-1213.1999999999998,0.0,0.0,normal,usable,berth,11,high,minor_gaps,full,36.18333333333333,26.016666666666666,2023-01-03,1,1,2,39.01774691358025,1.1705324074074075
3,215762000,9872949,LNGSHIPS ATHENA,1,SPL_BERTH_2,2023-01-04 11:38:24+00:00,2023-01-05 07:26:22+00:00,1187.9666666666667,2694.35,-1506.3833333333332,0.0,0.0,normal,usable,berth,7,high,minor_gaps,inbound_only,44.333333333333336,,2023-01-04,3,1,3,52.98225308641975,1.5894675925925925
4,408919000,9771080,SEAPEAK BAHRAIN,1,SPL_BERTH_3,2023-01-04 14:56:18+00:00,2023-01-06 19:19:37+00:00,3143.3166666666666,2844.5333333333333,298.7833333333333,298.7833333333333,4.979722222222222,normal,usable_with_gap,berth,9,high,moderate_gap,full,31.816666666666666,15.666666666666666,2023-01-04,3,1,3,52.98225308641975,1.5894675925925925
5,215888000,9861809,TRANSGAS POWER,1,SPL_BERTH_1,2023-01-04 23:44:04+00:00,2023-01-05 23:19:13+00:00,1415.15,2557.2,-1142.0499999999997,0.0,0.0,normal,usable_with_gap,berth,11,high,moderate_gap,full,32.333333333333336,22.65,2023-01-04,3,1,3,52.98225308641975,1.5894675925925925
6,355658000,9761839,SM SEAHAWK,1,SPL_BERTH_1,2023-01-06 05:08:06+00:00,2023-01-07 21:25:02+00:00,2416.9333333333334,2557.2,-140.26666666666642,0.0,0.0,normal,usable,berth,11,high,continuous,full,37.833333333333336,21.833333333333332,2023-01-06,2,1,2,54.54783950617284,1.6364351851851853
7,215889000,9854375,MINERVA LIMNOS,1,SPL_BERTH_3,2023-01-06 22:55:03+00:00,2023-01-08 19:19:30+00:00,2664.45,2844.5333333333333,-180.08333333333348,0.0,0.0,normal,usable,berth,9,high,continuous,full,36.666666666666664,20.316666666666666,2023-01-06,2,1,2,54.54783950617284,1.6364351851851853
8,310817000,9876660,GASLOG WELLINGTON,1,SPL_BERTH_2,2023-01-07 10:19:47+00:00,2023-01-09 04:12:59+00:00,2513.2,2694.35,-181.1500000000001,0.0,0.0,normal,usable,berth,7,high,continuous,full,46.833333333333336,23.0,2023-01-07,1,1,3,82.06597222222223,2.4619791666666666
9,248516000,9742807,CASTILLO DE MERIDA,1,SPL_BERTH_1,2023-01-08 00:45:20+00:00,2023-01-09 19:51:32+00:00,2586.2,2557.2,29.0,29.0,0.48333333333333334,normal,usable,berth,11,high,continuous,full,28.816666666666666,22.483333333333334,2023-01-08,2,1,3,94.52006172839506,2.8356018518518518
10,636020078,9870525,KOOL ORCA,1,SPL_BERTH_3,2023-01-08 22:30:54+00:00,2023-01-10 18:52:50+00:00,2661.9333333333334,2844.5333333333333,-182.5999999999999,0.0,0.0,normal,usable,berth,9,high,minor_gaps,full,38.8,17.683333333333334,2023-01-08,2,1,3,94.52006172839506,2.8356018518518518
11,538004980,9624914,GOLAR SEAL,1,SPL_BERTH_3,2023-01-10 23:21:48+00:00,2023-01-12 07:13:55+00:00,1912.1166666666666,2844.5333333333333,-932.4166666666667,0.0,0.0,normal,usable,berth,9,high,continuous,full,26.166666666666668,17.5,2023-01-10,1,1,1,27.107253086419753,0.8132175925925926
12,235099946,9383900,STENA CRYSTAL SKY,1,SPL_BERTH_2,2023-01-11 20:21:08+00:00,2023-01-12 21:47:28+00:00,1526.3333333333333,2694.35,-1168.0166666666667,0.0,0.0,normal,usable,berth,7,high,continuous,full,36.15,19.683333333333334,2023-01-11,1,0,2,38.39969135802469,1.1519907407407406
13,538009406,9880477,GLOBAL SEALINE,1,SPL_BERTH_1,2023-01-12 11:45:52+00:00,2023-01-13 14:25:22+00:00,1599.5,2557.2,-957.6999999999998,0.0,0.0,normal,usable,berth,11,high,continuous,full,29.5,19.483333333333334,2023-01-12,2,2,3,70.51697530864197,2.1155092592592593
14,259082000,9477593,RIBERA DEL DUERO KNU,1,SPL_BERTH_3,2023-01-12 14:29:11+00:00,2023-01-14 13:53:43+00:00,2844.5333333333333,2844.5333333333333,0.0,0.0,0.0,normal,usable,berth,9,high,continuous,full,46.833333333333336,19.166666666666668,2023-01-12,2,2,3,70.51697530864197,2.1155092592592593
