metric_date,arrivals,departures,occupied_berth_minutes,max_occupied_berths,terminal_utilisation_pct,mean_occupied_berths,mean_arrival_delay_minutes,severe_delay_arrivals
2023-01-01,0,0,1439.2333333333333,1,33.31558641975309,0.9994675925925925,,0
2023-01-02,0,0,1440.0,1,33.333333333333336,1.0,,0
2023-01-03,1,1,1685.5666666666666,2,39.01774691358025,1.1705324074074075,0.0,0
2023-01-04,3,1,2288.8333333333335,3,52.98225308641975,1.5894675925925925,99.59444444444443,0
2023-01-05,0,1,3285.5833333333335,3,76.05516975308642,2.2816550925925925,,0
2023-01-06,2,1,2356.4666666666667,2,54.54783950617284,1.6364351851851853,0.0,0
2023-01-07,1,1,3545.25,3,82.06597222222223,2.4619791666666666,0.0,0
2023-01-08,2,1,4083.266666666667,3,94.52006172839506,2.8356018518518518,14.5,0
2023-01-09,0,2,2884.516666666667,3,66.77121913580247,2.003136574074074,,0
2023-01-10,1,1,1171.0333333333333,1,27.107253086419753,0.8132175925925926,0.0,0
2023-01-11,1,0,1658.8666666666666,2,38.39969135802469,1.1519907407407406,0.0,0
2023-01-12,2,2,3046.3333333333335,3,70.51697530864197,2.1155092592592593,0.0,0
2023-01-13,2,1,3250.7166666666667,3,75.24807098765432,2.2574421296296294,162.54166666666674,0
2023-01-14,0,1,3713.7166666666667,3,85.96566358024691,2.5789699074074073,,0
2023-01-15,1,2,2499.3333333333335,2,57.85493827160494,1.735648148148148,1801.5333333333333,1
2023-01-16,1,0,2427.883333333333,2,56.20100308641975,1.6860300925925926,1035.1333333333337,1
2023-01-17,1,0,4230.733333333334,3,97.93364197530865,2.9380092592592595,920.0333333333333,1
2023-01-18,1,2,3846.266666666667,3,89.03395061728395,2.6710185185185185,0.0,0
2023-01-19,1,1,3374.9,3,78.12268518518519,2.3436805555555558,0.0,0
2023-01-20,1,1,2980.35,3,68.98958333333333,2.0696875,177.5666666666666,0
2023-01-21,2,1,3922.25,3,90.79282407407408,2.7237847222222222,91.4666666666667,0
2023-01-22,1,2,3497.0833333333335,3,80.95100308641975,2.4285300925925926,0.0,0
2023-01-23,2,2,3019.883333333333,3,69.90470679012346,2.097141203703704,748.6750000000002,0
2023-01-24,1,0,4082.516666666667,3,94.50270061728395,2.8350810185185185,646.9333333333334,0
2023-01-25,0,2,4001.35,3,92.6238425925926,2.7787152777777777,,0
2023-01-26,1,1,1519.9833333333333,2,35.18479938271605,1.0555439814814815,0.0,0
2023-01-27,2,0,2553.4166666666665,3,59.10686728395062,1.7732060185185186,0.0,0
2023-01-28,0,1,2409.85,3,55.78356481481482,1.6735069444444444,,0
2023-01-29,2,1,3829.266666666667,3,88.64043209876543,2.659212962962963,,0
2023-01-30,0,0,4316.366666666667,3,99.91589506172839,2.997476851851852,,0
