metric_date,risk_score,risk_level,score_confidence,risk_change_1d,previous_risk_level,risk_trend,primary_driver,primary_driver_points,secondary_driver,secondary_driver_points,tertiary_driver,tertiary_driver_points,risk_headline,risk_explanation,terminal_utilisation_pct,max_occupied_berths,active_calls,active_delayed_calls,active_severe_calls,active_mean_delay_hours,utilisation_3d_avg,arrivals_3d,departures_3d,vessel_balance_3d,capacity_points,saturation_points,active_delay_points,active_severe_points,delay_intensity_points,utilisation_3d_points,backlog_points
2023-01-01,15.0,low,low,,,initial,Terminal utilisation 33.3%,6.7,Trailing 3-day utilisation 33.3%,5.0,1 of 3 berths occupied at peak,3.3,LOW — 15.0 / 100,Primary drivers: Terminal utilisation 33.3%; Trailing 3-day utilisation 33.3%; 1 of 3 berths occupied at peak,33.31558641975309,1,1,0,0,,33.31558641975309,0.0,0.0,0.0,6.7,3.3,0.0,0.0,0.0,5.0,0.0
2023-01-02,15.0,low,low,0.0,low,stable,Terminal utilisation 33.3%,6.7,Trailing 3-day utilisation 33.3%,5.0,1 of 3 berths occupied at peak,3.3,LOW — 15.0 / 100,Primary drivers: Terminal utilisation 33.3%; Trailing 3-day utilisation 33.3%; 1 of 3 berths occupied at peak,33.333333333333336,1,1,0,0,,33.32445987654321,0.0,0.0,0.0,6.7,3.3,0.0,0.0,0.0,5.0,0.0
2023-01-03,19.8,low,low,4.8,low,rising,Terminal utilisation 39.0%,7.8,2 of 3 berths occupied at peak,6.7,Trailing 3-day utilisation 35.2%,5.3,LOW — 19.8 / 100,Primary drivers: Terminal utilisation 39.0%; 2 of 3 berths occupied at peak; Trailing 3-day utilisation 35.2%,39.01774691358025,2,2,0,0,,35.22222222222222,1.0,1.0,0.0,7.8,6.7,0.0,0.0,0.0,5.3,0.0
2023-01-04,36.9,moderate,low,17.1,low,rising_fast,Terminal utilisation 53.0%,10.6,3-day net vessel balance +2,10.0,All 3 berths occupied at peak,10.0,MODERATE — 36.9 / 100,Primary drivers: Terminal utilisation 53.0%; 3-day net vessel balance +2; All 3 berths occupied at peak,52.98225308641975,3,4,0,0,,41.77777777777778,4.0,2.0,2.0,10.6,10.0,0.0,0.0,0.0,6.3,10.0
2023-01-05,38.6,moderate,low,1.7,moderate,stable,Terminal utilisation 76.1%,15.2,All 3 berths occupied at peak,10.0,Trailing 3-day utilisation 56.0%,8.4,MODERATE — 38.6 / 100,Primary drivers: Terminal utilisation 76.1%; All 3 berths occupied at peak; Trailing 3-day utilisation 56.0%,76.05516975308642,3,3,0,0,,56.01838991769547,4.0,3.0,1.0,15.2,10.0,0.0,0.0,0.0,8.4,5.0
2023-01-06,36.8,moderate,low,-1.8,moderate,stable,Terminal utilisation 54.5%,10.9,3-day net vessel balance +2,10.0,Trailing 3-day utilisation 61.2%,9.2,MODERATE — 36.8 / 100,Primary drivers: Terminal utilisation 54.5%; 3-day net vessel balance +2; Trailing 3-day utilisation 61.2%,54.54783950617284,2,3,0,0,,61.19508744855967,5.0,3.0,2.0,10.9,6.7,0.0,0.0,0.0,9.2,10.0
2023-01-07,37.0,moderate,low,0.2,moderate,stable,Terminal utilisation 82.1%,16.4,Trailing 3-day utilisation 70.9%,10.6,All 3 berths occupied at peak,10.0,MODERATE — 37.0 / 100,Primary drivers: Terminal utilisation 82.1%; Trailing 3-day utilisation 70.9%; All 3 berths occupied at peak,82.06597222222223,3,3,0,0,,70.88966049382717,3.0,3.0,0.0,16.4,10.0,0.0,0.0,0.0,10.6,0.0
2023-01-08,50.5,elevated,low,13.5,moderate,rising_fast,Terminal utilisation 94.5%,18.9,Trailing 3-day utilisation 77.0%,11.6,3-day net vessel balance +2,10.0,ELEVATED — 50.5 / 100,Primary drivers: Terminal utilisation 94.5%; Trailing 3-day utilisation 77.0%; 3-day net vessel balance +2,94.52006172839506,3,4,0,0,,77.04462448559671,5.0,3.0,2.0,18.9,10.0,0.0,0.0,0.0,11.6,10.0
2023-01-09,35.5,moderate,high,-15.0,elevated,falling_fast,Terminal utilisation 66.8%,13.4,Trailing 3-day utilisation 81.1%,12.2,All 3 berths occupied at peak,10.0,MODERATE — 35.5 / 100,Primary drivers: Terminal utilisation 66.8%; Trailing 3-day utilisation 81.1%; All 3 berths occupied at peak,66.77121913580247,3,3,0,0,,81.11908436213992,3.0,4.0,-1.0,13.4,10.0,0.0,0.0,0.0,12.2,0.0
2023-01-10,29.2,moderate,high,-6.3,moderate,falling,1 active call(s) above normal-duration threshold,10.0,Trailing 3-day utilisation 62.8%,9.4,Terminal utilisation 27.1%,5.4,MODERATE — 29.2 / 100,Primary drivers: 1 active call(s) above normal-duration threshold; Trailing 3-day utilisation 62.8%; Terminal utilisation 27.1%,27.107253086419753,1,2,1,0,2.478888888888893,62.799511316872426,3.0,4.0,-1.0,5.4,3.3,10.0,0.0,1.0,9.4,0.0
