metric_date,risk_score,risk_level,capacity_points,saturation_points,active_delay_points,active_severe_points,delay_intensity_points,utilisation_3d_points,backlog_points,terminal_utilisation_pct,max_occupied_berths,active_calls,active_scored_calls,active_unscored_calls,active_delayed_calls,active_severe_calls,active_mean_delay_hours,active_delay_share,active_severe_share,utilisation_3d_avg,arrivals_3d,departures_3d,vessel_balance_3d,delayed_departures,severe_departures,severe_departures_3d,data_coverage_score,score_confidence
2023-01-01,15.0,low,6.7,3.3,0.0,0.0,0.0,5.0,0.0,33.31558641975309,1,1,0,1,0,0,,0.0,0.0,33.31558641975309,0.0,0.0,0.0,0,0,0.0,0.0,low
2023-01-02,15.0,low,6.7,3.3,0.0,0.0,0.0,5.0,0.0,33.333333333333336,1,1,0,1,0,0,,0.0,0.0,33.32445987654321,0.0,0.0,0.0,0,0,0.0,0.0,low
2023-01-03,19.8,low,7.8,6.7,0.0,0.0,0.0,5.3,0.0,39.01774691358025,2,2,0,2,0,0,,0.0,0.0,35.22222222222222,1.0,1.0,0.0,0,0,0.0,0.0,low
2023-01-04,36.9,moderate,10.6,10.0,0.0,0.0,0.0,6.3,10.0,52.98225308641975,3,4,0,4,0,0,,0.0,0.0,41.77777777777778,4.0,2.0,2.0,0,0,0.0,0.0,low
2023-01-05,38.6,moderate,15.2,10.0,0.0,0.0,0.0,8.4,5.0,76.05516975308642,3,3,0,3,0,0,,0.0,0.0,56.01838991769547,4.0,3.0,1.0,0,0,0.0,0.0,low
2023-01-06,36.8,moderate,10.9,6.7,0.0,0.0,0.0,9.2,10.0,54.54783950617284,2,3,0,3,0,0,,0.0,0.0,61.19508744855967,5.0,3.0,2.0,0,0,0.0,0.0,low
2023-01-07,37.0,moderate,16.4,10.0,0.0,0.0,0.0,10.6,0.0,82.06597222222223,3,3,0,3,0,0,,0.0,0.0,70.88966049382717,3.0,3.0,0.0,0,0,0.0,0.0,low
2023-01-08,50.5,elevated,18.9,10.0,0.0,0.0,0.0,11.6,10.0,94.52006172839506,3,4,0,4,0,0,,0.0,0.0,77.04462448559671,5.0,3.0,2.0,0,0,0.0,0.0,low
2023-01-09,35.5,moderate,13.4,10.0,0.0,0.0,0.0,12.2,0.0,66.77121913580247,3,3,3,0,0,0,,0.0,0.0,81.11908436213992,3.0,4.0,-1.0,0,0,0.0,1.0,high
2023-01-10,29.2,moderate,5.4,3.3,10.0,0.0,1.0,9.4,0.0,27.107253086419753,1,2,2,0,1,0,2.478888888888893,0.5,0.0,62.799511316872426,3.0,4.0,-1.0,0,0,0.0,1.0,high
2023-01-11,21.0,low,7.7,6.7,0.0,0.0,0.0,6.6,0.0,38.39969135802469,2,2,2,0,0,0,,0.0,0.0,44.092721193415635,2.0,3.0,-1.0,0,0,0.0,1.0,high
2023-01-12,35.9,moderate,14.1,10.0,0.0,0.0,0.0,6.8,5.0,70.51697530864197,3,4,4,0,0,0,,0.0,0.0,45.34130658436214,4.0,3.0,1.0,0,0,0.0,1.0,high
2023-01-13,44.3,moderate,15.0,10.0,0.0,0.0,0.0,9.2,10.0,75.24807098765432,3,4,4,0,0,0,,0.0,0.0,61.38824588477366,5.0,3.0,2.0,0,0,0.0,1.0,high
