imo,mmsi,vessel_name,vessel_type,length_metres,width_metres
9501186,538005753,ADAM LNG,80,289,46
9862918,215778000,ARISTARCHOS,80,299,46
9850666,563092200,BW MAGNOLIA,84,295,46
9742807,248516000,CASTILLO DE MERIDA,80,297,49
9236420,224941000,CATALUNYA SPIRIT,80,284,42
9864796,538009123,CELSIUS CANBERRA,84,299,46
9878723,538009151,CELSIUS CAROLINA,84,299,46
9886744,229416000,CLEAN COPANO,84,300,49
9863182,215578000,DORADO LNG,80,293,46
9744025,310779000,GASLOG GLADSTONE,84,293,46
9748904,310773000,GASLOG HONGKONG,81,290,46
9626273,310657000,GASLOG SYDNEY,80,285,43
9876660,310817000,GASLOG WELLINGTON,80,297,47
9855812,310795000,GASLOG WESTMINSTER,80,297,47
9880477,538009406,GLOBAL SEALINE,80,295,46
9880465,538009405,GLOBAL SEA SPIRIT,80,295,46
9253105,538002656,GOLAR ARCTIC,80,279,43
9303560,538003804,GOLAR GRAND,80,285,43
9624914,538004980,GOLAR SEAL,80,280,43
9903920,311001111,GRACE FREESIA,80,297,46
9372999,370983000,HYUNDAI ECOPIA,83,288,44
9870525,636020078,KOOL ORCA,84,299,46
9771913,357315000,LNG SCHNEEWEISSCHEN,80,298,48
9872949,215762000,LNGSHIPS ATHENA,84,299,46
9767950,241579000,MARAN GAS SPETSES,89,295,46
9854375,215889000,MINERVA LIMNOS,80,295,46
9878876,636021030,MU LAN,89,294,45
9750220,477096200,PAN ASIA,81,290,46
9477593,259082000,RIBERA DEL DUERO KNU,80,289,45
9771080,408919000,SEAPEAK BAHRAIN,89,295,46
9414632,224072000,SEVILLA KNUTSEN,80,289,45
9761839,355658000,SM SEAHAWK,84,295,46
9383900,235099946,STENA CRYSTAL SKY,80,298,45
9861809,215888000,TRANSGAS POWER,80,294,47
